type,level,gene,,
Prolif.,2,MKI67,,
Prolif.,2,TOP2A,,
Prolif.,2,PCNA,,
Pro-Neu,2,CTSG,,
Pro-Neu,2,AZU1,,
Pro-Neu,2,ELANE,,
Pro-Neu,2,MPO,,
Pro-Neu,2,PRTN3,,
Pro-Neu,2,AZU1,,
Pro-Neu,2,DEFA4,,
Pre-Neu,2,ARG1,,
Pre-Neu,2,BPI,PADI4,
Pre-Neu,2,PGLYRP1,,
Pre-Neu,2,CAMP,,
Pre-Neu,2,TCN1,,
Neutrophil,1,CSF3R,ALDH1A26,
Neutrophil,1,CXCL8,ADGRE1,
Neutrophil,1,NAMPT,PROK2,
Neutrophil,1,TREM1,,
Neutrophil,1,FCGR3B,,
Neutrophil,1,PTGS2,,
Neutrophil,1,IL1R2,,
Platelet,1,PF4,,
Platelet,1,PPBP,,
Platelet,1,TUBB1,GNG11,
Platelet,1,CLEC1B,SELP,
Platelet,1,ITGA2B,ALOX12,
Platelet,1,ITGB3,,
Platelet,1,PTCRA,,
Platelet,1,GP9,,
HSC,1,CD34,,
HSC,1,SPINK2,,
HSC,1,KIT,,
HSC,1,SOX4,,
HSC,1,AVP,,
HSC,1,MYB,,
HSC,1,TPSAB1,,
HSC,1,TPSB2,,
Eosinophil,1,IL5RA,,
Eosinophil,1,CCR3,,
Eosinophil,1,IL1RL1,,
Eosinophil,1,CLC,,
Basophil,1,CPA3,,
Basophil,1,MS4A2,,
Basophil,1,HDC,,
Erythrocyte,1,HBA1,,
Erythrocyte,1,HBA2,,
Erythrocyte,1,HBB,,
Erythroblast,2,HBD,,
Erythroblast,2,HBM,,
Erythroblast,2,HEMGN,,
T,1,CD3D,,
T,1,CD3E,,
T,1,CD3G,,
T,1,CD2,,
T helper,2,CD4,,
T helper,2,CD40LG,,
ctox. T,2,CD8A,,
ctox. T,2,CD8B,,
T reg,2,FOXP3,,
T reg,2,IL2RA,,
NK,1,NCAM1,,
NK,1,KLRF1,,
NK,1,NCR1,,
NK,1,KLRC1,,
NK,1,KLRB1,,
NK,1,KLRC2,,
NK,1,KLRC3,,
NK,1,TRDC,,
NK,1,XCL1,,
NK,1,XCL2,,
B,1,MS4A1,,
B,1,CD19,,
B,1,SPIB,,
B,1,CD79A,,
B,1,CD79B,,
B,1,TNFRSF13B,,
B,1,TNFRSF13C,,
B,1,IGHD,,
B,1,PAX5,,
B,1,BANK1,,
B,1,VPREB3,,
Plasma,1,JCHAIN,IRF4,
Plasma,1,MZB1,,
Plasma,1,IGHGP,,
Plasma,1,IGHA1,,
Plasma,1,IGHG2,,
Plasma,1,IGHG1,,
Plasma,1,IGHG3,,
Plasma,1,IGHV1-2,,
Plasma,1,TNFRSF17,,
Plasma,1,TRAM2,,
pDC,2,CLEC4C,,
pDC,2,IRF8,IRF7,IRF4
pDC,2,TCF4,,
pDC,2,SCT,,
pDC,2,SHD,,
pDC,2,PTGDS,,
pDC,2,LILRA4,,
DC,1,CD80,,
DC,1,S100B,,
DC,1,FLT3,,
DC,1,PPP1R14A,,
DC1,2,CLEC9A,,
DC1,2,XCR1,,
DC1,2,NCKAP5,,
DC1,2,C1orf54,,
DC1,2,DNASE1L3,,
DC2,2,FCER1A,,
DC2,2,CD1C,,
DC2,2,CD1E,,
DC2,2,CD1A,,
DC2,2,PKIB,,
DC2,2,CLEC10A,,
DC3,2,FSCN1,,
DC3,2,LAMP3,,
DC3,2,NRP2,,
DC3,2,ADAM12,,
Monocyte,1,CD14,,
Monocyte,1,VCAN,,
Monocyte,1,FCGR3A,,
Monocyte,1,FCN1,,
Macrophage,1,MARCO,,
Macrophage,1,CD68,,
Macrophage,1,CST3,,
Macrophage,1,HLA-DRA,,
Epithelia I,2,KRT8,,
Epithelia I,2,KRT18,,
Epithelia I,2,KRT19,,
Epithelia I,2,CDH1,,
Epithelia II,2,KRT5,,
Epithelia,1,KRT8,,
Epithelia,1,KRT18,,
Epithelia,1,KRT19,,
Epithelia,1,MUC1,,
Epithelia,1,SFN,,
Epithelia,1,KRT7,,
Fibroblast,1,COL1A1,,
Fibroblast,1,COL1A2,,
Fibroblast,1,COL3A1,,
Fibroblast,1,COL5A2,,
Fibroblast,1,CDH11,,
Myofibroblast,1,MYL9,,
Myofibroblast,1,TAGLN,,
Myofibroblast,1,CALD1,,
